size,sex,category,fit,w,h
L,남성,상의,커요,60,168
L,여성,상의,보통이에요,52,161
L,남성,상의,보통이에요,77,174
L,여성,상의,보통이에요,82,178
L,남성,상의,보통이에요,62,174
L,남성,상의,보통이에요,71,178
L,여성,상의,보통이에요,50,166
L,여성,상의,보통이에요,53,164
L,남성,상의,보통이에요,78,172
L,남성,상의,작아요,78,167
L,남성,상의,보통이에요,75,172
L,남성,상의,보통이에요,75,177
L,남성,상의,보통이에요,73,178
L,남성,상의,보통이에요,70,173
L,남성,상의,보통이에요,80,190
2XL,남성,상의,보통이에요,95,180
2XL,남성,상의,보통이에요,70,173
2XL,남성,상의,보통이에요,85,190
2XL,남성,상의,보통이에요,70,173
2XL,남성,상의,보통이에요,85,190
2XL,남성,상의,커요,96,184
2XL,남성,상의,커요,96,184
2XL,남성,상의,커요,96,184
2XL,남성,상의,보통이에요,84,188
2XL,남성,상의,보통이에요,90,181
2XL,남성,상의,보통이에요,92,192
2XL,남성,상의,보통이에요,96,183
2XL,남성,상의,작아요,97,185
2XL,남성,상의,커요,100,181
2XL,남성,상의,보통이에요,95,190
2XL,남성,상의,보통이에요,90,184
2XL,남성,상의,보통이에요,90,184
2XL,남성,상의,보통이에요,90,184
2XL,남성,상의,보통이에요,82,171
2XL,남성,상의,보통이에요,90,186
2XL,남성,상의,보통이에요,90,170
2XL,여성,상의,커요,56,165
2XL,남성,상의,보통이에요,91,187
2XL,남성,상의,보통이에요,91,187
2XL,남성,상의,보통이에요,88,188
2XL,남성,상의,보통이에요,88,188
2XL,남성,상의,보통이에요,91,179
2XL,남성,상의,보통이에요,89,188
2XL,남성,상의,보통이에요,74,175
2XL,남성,상의,보통이에요,95,182
2XL,남성,상의,보통이에요,104,179
2XL,남성,상의,보통이에요,95,180
2XL,남성,상의,보통이에요,85,179
2XL,남성,상의,보통이에요,85,187
2XL,남성,상의,보통이에요,85,188
2XL,남성,상의,보통이에요,85,188
2XL,남성,상의,커요,113,183
2XL,남성,상의,보통이에요,77,180
2XL,남성,상의,보통이에요,78,181
2XL,남성,상의,보통이에요,78,181
2XL,남성,상의,보통이에요,81,179
S,남성,상의,보통이에요,65,174
L,남성,상의,보통이에요,85,180
L,남성,상의,보통이에요,85,180
XL,남성,상의,보통이에요,79,178
XL,남성,상의,보통이에요,82,180
XL,남성,상의,보통이에요,80,173
XL,남성,상의,보통이에요,65,168
XL,여성,상의,보통이에요,50,158
XL,여성,상의,커요,62,168
L,남성,상의,보통이에요,77,182
XL,남성,상의,보통이에요,68,176
2XL,여성,상의,보통이에요,52,169
2XL,남성,상의,보통이에요,78,184
2XL,남성,상의,보통이에요,75,180
2XL,남성,상의,보통이에요,80,179
XL,남성,상의,보통이에요,84,182
XL,남성,상의,보통이에요,84,182
2XL,남성,상의,보통이에요,76,173
XL,남성,상의,보통이에요,76,178
S,남성,상의,보통이에요,60,174
S,남성,상의,보통이에요,63,168
S,남성,상의,보통이에요,63,171
L,남성,상의,보통이에요,79,177
L,남성,상의,보통이에요,73,164
L,남성,상의,보통이에요,62,176
L,남성,상의,보통이에요,62,176
M,남성,상의,커요,68,170
M,남성,상의,커요,68,170
XL,남성,상의,보통이에요,72,178
XL,남성,상의,보통이에요,81,178
XL,남성,상의,보통이에요,83,174
M,남성,상의,보통이에요,76,170
